Confidence Set Size (Mean),Confidence Risk (Mean),Localization Set Size (Mean),Localization Risk (Mean),Classification Set Size (Mean),Classification Risk (Mean),Global Risk (Mean),Confidence Alpha,Localization Alpha,Classification Alpha,Global Alpha,Matching Function,Confidence Method,Localization Method,Classification Prediction Set,Localization Prediction Set
18.855199813842773,0.0124000003561377,21.664945602416992,0.0428000018000602,0.9959999918937684,0.0428455658257007,0.081720046699047,0.02,0.05,0.05,0.1,lac,box_count_threshold,thresholded,aps,multiplicative
18.855199813842773,0.0124000003561377,20.640457153320312,0.0466994903981685,0.7168436050415039,0.0489072427153587,0.0859909653663635,0.02,0.05,0.05,0.1,lac,box_count_threshold,pixelwise,lac,additive
18.855199813842773,0.0124000003561377,15.80469036102295,0.049139130860567,0.7168436050415039,0.0489072427153587,0.0853283479809761,0.02,0.05,0.05,0.1,lac,box_count_threshold,pixelwise,lac,multiplicative
18.855199813842773,0.0124000003561377,20.640457153320312,0.0466994903981685,0.9959999918937684,0.0428455658257007,0.0816708505153656,0.02,0.05,0.05,0.1,lac,box_count_threshold,pixelwise,aps,additive
18.855199813842773,0.0124000003561377,15.80469036102295,0.049139130860567,0.9959999918937684,0.0428455658257007,0.0811778530478477,0.02,0.05,0.05,0.1,lac,box_count_threshold,pixelwise,aps,multiplicative
18.855199813842773,0.0124000003561377,24.181142807006836,0.045915950089693,0.7168436050415039,0.0489072427153587,0.0828209444880485,0.02,0.05,0.05,0.1,lac,box_count_threshold,boxwise,lac,additive
18.855199813842773,0.0124000003561377,17.84726905822754,0.0486038140952587,0.7168436050415039,0.0489072427153587,0.0838260427117347,0.02,0.05,0.05,0.1,lac,box_count_threshold,boxwise,lac,multiplicative
18.855199813842773,0.0124000003561377,24.181142807006836,0.045915950089693,0.9959999918937684,0.0428455658257007,0.0789733007550239,0.02,0.05,0.05,0.1,lac,box_count_threshold,boxwise,aps,additive
18.855199813842773,0.0124000003561377,17.84726905822754,0.0486038140952587,0.9959999918937684,0.0428455658257007,0.0796808749437332,0.02,0.05,0.05,0.1,lac,box_count_threshold,boxwise,aps,multiplicative
11.710399627685549,0.0189005509018898,21.88567543029785,0.0388000011444091,1.028546690940857,0.0489008761942386,0.0829961448907852,0.02,0.05,0.05,0.1,lac,box_count_recall,thresholded,lac,additive
11.710399627685549,0.0189005509018898,25.421215057373047,0.034800000488758,1.028546690940857,0.0489008761942386,0.0790216475725174,0.02,0.05,0.05,0.1,lac,box_count_recall,thresholded,lac,multiplicative
11.710399627685549,0.0189005509018898,21.88567543029785,0.0388000011444091,1.3235793113708496,0.0477889887988567,0.0822308138012886,0.02,0.05,0.05,0.1,lac,box_count_recall,thresholded,aps,additive
11.710399627685549,0.0189005509018898,25.421215057373047,0.034800000488758,1.3235793113708496,0.0477889887988567,0.0785961225628852,0.02,0.05,0.05,0.1,lac,box_count_recall,thresholded,aps,multiplicative
11.710399627685549,0.0189005509018898,17.665752410888672,0.0436601862311363,1.028546690940857,0.0489008761942386,0.0822818204760551,0.02,0.05,0.05,0.1,lac,box_count_recall,pixelwise,lac,additive
11.710399627685549,0.0189005509018898,17.707233428955078,0.0425860583782196,1.028546690940857,0.0489008761942386,0.0792477130889892,0.02,0.05,0.05,0.1,lac,box_count_recall,pixelwise,lac,multiplicative
11.710399627685549,0.0189005509018898,17.665752410888672,0.0436601862311363,1.3235793113708496,0.0477889887988567,0.082249715924263,0.02,0.05,0.05,0.1,lac,box_count_recall,pixelwise,aps,additive
11.710399627685549,0.0189005509018898,17.707233428955078,0.0425860583782196,1.3235793113708496,0.0477889887988567,0.0795447826385498,0.02,0.05,0.05,0.1,lac,box_count_recall,pixelwise,aps,multiplicative
11.710399627685549,0.0189005509018898,20.4722900390625,0.0424681715667247,1.028546690940857,0.0489008761942386,0.0796866044402122,0.02,0.05,0.05,0.1,lac,box_count_recall,boxwise,lac,additive
11.710399627685549,0.0189005509018898,20.03598403930664,0.0411108508706092,1.028546690940857,0.0489008761942386,0.0769933834671974,0.02,0.05,0.05,0.1,lac,box_count_recall,boxwise,lac,multiplicative
11.710399627685549,0.0189005509018898,20.4722900390625,0.0424681715667247,1.3235793113708496,0.0477889887988567,0.0796211883425712,0.02,0.05,0.05,0.1,lac,box_count_recall,boxwise,aps,additive
